name,address,city,state,category,verified,latitude,longitude
Starbucks,755 Boylston St,Boston,MA,Cafe,true,42.349816,-71.082682
Starbucks,665 Beacon St,Boston,MA,Cafe,true,42.349731,-71.104474
Starbucks,27 School St,Boston,MA,Cafe,true,42.357443,-71.058468
Starbucks,222 Main St,Worcester,MA,Cafe,true,42.263278,-71.799659
Starbucks,1 Faneuil Hall Marketplace,Boston,MA,Cafe,true,42.360244,-71.055898
Starbucks,100 Hanover St,Portland,ME,Cafe,true,43.658434,-70.254553
Starbucks,1000 Elm St,Manchester,NH,Cafe,true,42.989943,-71.464008
Starbucks,10 Memorial Blvd,Providence,RI,Cafe,true,41.826381,-71.410096
Starbucks,1050 Kennedy Rd,Manchester,NH,Cafe,true,42.990634,-71.454435
Starbucks,100 Church St,Burlington,VT,Cafe,true,44.479681,-73.211594
Starbucks,580 Main St,Hartford,CT,Cafe,true,41.765804,-72.682936
Starbucks,29 Middle St,Portland,ME,Cafe,true,43.659063,-70.255194
Starbucks,160 Federal St,Boston,MA,Cafe,true,42.354241,-71.056114
Starbucks,799 Boylston St,Boston,MA,Cafe,true,42.347553,-71.083684
Starbucks,1280 Massachusetts Ave,Cambridge,MA,Cafe,true,42.373378,-71.118176
Starbucks,212 College St,Burlington,VT,Cafe,true,44.476467,-73.210954
Starbucks,84 Washington St,West Hartford,CT,Cafe,true,41.763808,-72.743239
Dunkin',100 Cambridge St,Boston,MA,Cafe,true,42.363482,-71.059470
Dunkin',45 Hanover St,Manchester,NH,Cafe,true,42.989731,-71.461869
Dunkin',530 Congress St,Portland,ME,Cafe,true,43.654382,-70.262784
Dunkin',1111 S Willow St,Manchester,NH,Cafe,true,42.964713,-71.443527
Dunkin',1160 Silas Deane Hwy,Wethersfield,CT,Cafe,true,41.698808,-72.655697
Dunkin',1 Kennedy Plaza,Providence,RI,Cafe,true,41.827893,-71.414601
Dunkin',1 Burlington Mall Road,Burlington,MA,Cafe,true,42.483905,-71.195031
Dunkin',280 S Main St,Burlington,VT,Cafe,true,44.468783,-73.210371
Dunkin',127 Main St,Brattleboro,VT,Cafe,true,42.850917,-72.557801
Dunkin',1285 Congress St,Portland,ME,Cafe,true,43.658187,-70.302924
Dunkin',550 Broadway,South Portland,ME,Cafe,true,43.627591,-70.304653
Dunkin',10 East Main St,Meriden,CT,Cafe,true,41.538153,-72.801636
Dunkin',23 Elm St,Westfield,MA,Cafe,true,42.123923,-72.749074
Dunkin',670 Main St,Worcester,MA,Cafe,true,42.257105,-71.795262
Dunkin',192 Main St,Nashua,NH,Cafe,true,42.759926,-71.467095
Dunkin',282 Main St,Biddeford,ME,Cafe,true,43.493884,-70.453341
Dunkin',51 Main St,Brunswick,ME,Cafe,true,43.914664,-69.965684
